snr,realization,L_true,epsilon_true,MEWT_true,L_retrieved,epsilon_retrieved,MEWT_retrieved
inf,0,0.0,0.0,0.0,0.001000273364914473,0.0010035579902646762,1.0038323278088537e-06
inf,0,0.025,0.1,0.0025,0.01727832133258072,0.09339155728406659,0.001613649336504222
inf,0,0.025,0.2,0.005,0.021754734314602116,0.1973595237209408,0.004293504003005481
inf,0,0.05,0.2,0.01,0.0663920085705841,0.1761752427114119,0.011696628224020792
inf,0,0.025,0.3,0.0075,0.023238048094195433,0.30102754736333004,0.006995292623306757
inf,0,0.05,0.3,0.015,0.05434062153031618,0.2889711485278961,0.015702871815335185
inf,0,0.075,0.3,0.0225,0.09521106495548434,0.2826154213241008,0.026908115237110532
inf,0,0.1,0.3,0.03,0.12808312703128225,0.28616023615142505,0.0366522978782847
inf,0,0.025,0.4,0.01,0.024006505468415516,0.40340076376443723,0.009684242641273958
inf,0,0.05,0.4,0.02,0.05182320742024476,0.39521038617578375,0.020481069817422672
inf,0,0.075,0.4,0.03,0.08596378160932153,0.38945190478587455,0.0334787584903472
inf,0,0.1,0.4,0.04,0.11808780391177781,0.39083866136505696,0.04615327920441858
inf,0,0.025,0.5,0.0125,0.024496578383389228,0.5043779439402057,0.012355533838583947
inf,0,0.05,0.5,0.025,0.0508589104710844,0.498806441976132,0.025368752174864253
inf,0,0.075,0.5,0.0375,0.0814270902615627,0.4941029237218326,0.040233363368399694
inf,0,0.1,0.5,0.05,0.11230961004148204,0.49442248713072684,0.05552839672539161
inf,0,0.125,0.5,0.0625,0.14011277960351842,0.4971238142197065,0.06965339941742617
inf,0,0.15,0.5,0.075,0.16579546992669658,0.4998543243098019,0.08287358259383501
inf,0,0.175,0.5,0.0875,0.1901144492925744,0.5023786924219856,0.09550944844612942
inf,0,0.2,0.5,0.1,0.19999999999999796,0.5131534260412702,0.102630685208253
inf,0,0.025,0.6,0.015,0.024833018559336,0.6040730799578571,0.015000958005788724
inf,0,0.05,0.6,0.03,0.05042843880171485,0.6004037507251443,0.030277423799763
inf,0,0.075,0.6,0.045,0.07884181406208429,0.5967417627330348,0.04704820310047835
inf,0,0.1,0.6,0.06,0.1084985684642956,0.5965564240066374,0.06472551801289951
inf,0,0.125,0.6,0.075,0.13622730077323306,0.5987616295240831,0.0815676805966484
inf,0,0.15,0.6,0.09,0.16215179530713844,0.6010400408153183,0.09745972166967962
inf,0,0.175,0.6,0.105,0.18696615928216884,0.6029908410684587,0.1127388816368944
inf,0,0.2,0.6,0.12,0.19999999999998785,0.6112819586063959,0.12225639172127176
